ID,Name,Voivodeship,Population
1,Warszawa,Mazowieckie,1792718
2,Kraków,Małopolskie,780796
3,Łódź,Łódzkie,667923
4,Wrocław,Dolnośląskie,641201
5,Poznań,Wielkopolskie,530464
6,Gdańsk,Pomorskie,470633
7,Szczecin,Zachodniopomorskie,396472
8,Bydgoszcz,Kujawsko-pomorskie,341692
9,Lublin,Lubelskie,337788
10,Białystok,Podlaskie,296401
11,Katowice,Śląskie,289162
12,Gdynia,Pomorskie,244104
13,Częstochowa,Śląskie,215905
14,Radom,Mazowieckie,208091
15,Toruń,Kujawsko-pomorskie,197812
16,Sosnowiec,Śląskie,195978
17,Kielce,Świętokrzyskie,192468
18,Rzeszów,Podkarpackie,198476
19,Gliwice,Śląskie,176009
20,Zabrze,Śląskie,169831
21,Olsztyn,Warmińsko-mazurskie,170622
22,Bielsko-Biała,Śląskie,168835
23,Bytom,Śląskie,162250
24,Zielona Góra,Lubuskie,140708
25,Rybnik,Śląskie,136464
26,Ruda Śląska,Śląskie,135695
27,Opole,Opolskie,127561
28,Tychy,Śląskie,126184
29,Gorzów Wielkopolski,Lubuskie,121714
30,Dąbrowa Górnicza,Śląskie,117516
31,Elbląg,Warmińsko-mazurskie,117952
32,Płock,Mazowieckie,117573
33,Wałbrzych,Dolnośląskie,108944
34,Włocławek,Kujawsko-pomorskie,107745
35,Tarnów,Małopolskie,106748
36,Chorzów,Śląskie,106272
37,Koszalin,Zachodniopomorskie,105801
38,Kalisz,Wielkopolskie,98447
39,Legnica,Dolnośląskie,97958
40,Grudziądz,Kujawsko-pomorskie,92894
41,Jaworzno,Śląskie,89827
42,Słupsk,Pomorskie,89180
43,Jastrzębie-Zdrój,Śląskie,87322
44,Nowy Sącz,Małopolskie,83274
45,Jelenia Góra,Dolnośląskie,77807
46,Siedlce,Mazowieckie,77645
47,Mysłowice,Śląskie,74413
48,Konin,Wielkopolskie,71935
49,Piotrków Trybunalski,Łódzkie,71655
50,Piła,Wielkopolskie,72184
51,Inowrocław,Kujawsko-pomorskie,71132
52,Lubin,Dolnośląskie,71278
53,Ostrów Wielkopolski,Wielkopolskie,71254
54,Suwałki,Podlaskie,69575
55,Ostrowiec Świętokrzyski,Świętokrzyskie,66837
56,Gniezno,Wielkopolskie,67157
57,Stargard,Zachodniopomorskie,67430
58,Głogów,Dolnośląskie,65757
59,Siemianowice Śląskie,Śląskie,65845
60,Pabianice,Łódzkie,63479
61,Leszno,Wielkopolskie,62429
62,Zamość,Lubelskie,62368
63,Łomża,Podlaskie,62278
64,Chełm,Lubelskie,60738
65,Tomaszów Mazowiecki,Łódzkie,60860
66,Żory,Śląskie,62815
67,Ełk,Warmińsko-mazurskie,61782
68,Pruszków,Mazowieckie,62742
69,Tarnowskie Góry,Śląskie,61789
70,Przemyśl,Podkarpackie,59337
71,Stalowa Wola,Podkarpackie,59098
72,Kędzierzyn-Koźle,Opolskie,59603
73,Mielec,Podkarpackie,59754
74,Tczew,Pomorskie,59105
75,Bełchatów,Łódzkie,56025
76,Biała Podlaska,Lubelskie,56760
77,Świdnica,Dolnośląskie,55800
78,Będzin,Śląskie,55542
79,Zgierz,Łódzkie,55272
80,Piekary Śląskie,Śląskie,54468
81,Racibórz,Śląskie,54004
82,Legionowo,Mazowieckie,53352
83,Ostrołęka,Mazowieckie,51380
84,Świętochłowice,Śląskie,48817
85,Wejherowo,Pomorskie,48735
86,Zawiercie,Śląskie,48412
87,Rumia,Pomorskie,49672
88,Starachowice,Świętokrzyskie,47238
89,Skierniewice,Łódzkie,47493
90,Wodzisław Śląski,Śląskie,47319
91,Piaseczno,Mazowieckie,48670
92,Starogard Gdański,Pomorskie,47037
93,Puławy,Lubelskie,46664
94,Tarnobrzeg,Podkarpackie,46057
95,Krosno,Podkarpackie,45715
96,Kołobrzeg,Zachodniopomorskie,45930
97,Radomsko,Łódzkie,44977
98,Dębica,Podkarpackie,44912
99,Skarżysko-Kamienna,Świętokrzyskie,43804
100,Otwock,Mazowieckie,44207
101,Ciechanów,Mazowieckie,43664
102,Kutno,Łódzkie,43051
103,Nysa,Opolskie,43066
104,Sieradz,Łódzkie,41142
105,Zduńska Wola,Łódzkie,40996
106,Świnoujście,Zachodniopomorskie,40696
107,Mikołów,Śląskie,40994
108,Mińsk Mazowiecki,Mazowieckie,40816
109,Szczecinek,Zachodniopomorskie,39705
110,Żyrardów,Mazowieckie,39331
111,Chojnice,Pomorskie,39484
112,Świdnik,Lubelskie,38564
113,Bolesławiec,Dolnośląskie,38280
114,Nowa Sól,Lubuskie,37931
115,Malbork,Pomorskie,37898
116,Kwidzyn,Pomorskie,38179
117,Knurów,Śląskie,37657
118,Oświęcim,Małopolskie,37231
119,Jarosław,Podkarpackie,36789
120,Żary,Lubuskie,36783
121,Sanok,Podkarpackie,36703
122,Oleśnica,Dolnośląskie,36757
123,Wołomin,Mazowieckie,36623
124,Chrzanów,Małopolskie,35881
125,Ząbki,Mazowieckie,39051
126,Sochaczew,Mazowieckie,35684
127,Sopot,Pomorskie,35049
128,Brzeg,Opolskie,34985
129,Czechowice-Dziedzice,Śląskie,35747
130,Olkusz,Małopolskie,34500
131,Lębork,Pomorskie,34977
132,Jasło,Podkarpackie,34303
133,Cieszyn,Śląskie,33757
134,Kraśnik,Lubelskie,33638
135,Marki,Mazowieckie,37384
136,Nowy Targ,Małopolskie,33212
137,Dzierżoniów,Dolnośląskie,32647
138,Iława,Warmińsko-mazurskie,33111
139,Ostróda,Warmińsko-mazurskie,32547
140,Oława,Dolnośląskie,33051
141,Police,Zachodniopomorskie,32034
142,Luboń,Wielkopolskie,31978
143,Myszków,Śląskie,30988
144,Czeladź,Śląskie,30854
145,Grodzisk Mazowiecki,Mazowieckie,32594
146,Żywiec,Śląskie,30526
147,Mława,Mazowieckie,31130
148,Pruszcz Gdański,Pomorskie,31822
149,Września,Wielkopolskie,30965
150,Zgorzelec,Dolnośląskie,29534
151,Swarzędz,Wielkopolskie,29663
152,Augustów,Podlaskie,29785
153,Bielawa,Dolnośląskie,29318
154,Łuków,Lubelskie,29286
155,Bochnia,Małopolskie,29405
156,Śrem,Wielkopolskie,29022
157,Giżycko,Warmińsko-mazurskie,28803
158,Krotoszyn,Wielkopolskie,28580
159,Brodnica,Kujawsko-pomorskie,28659
160,Nowy Dwór Mazowiecki,Mazowieckie,28615
161,Łowicz,Łódzkie,27687
162,Czerwionka-Leszczyny,Śląskie,27790
163,Gorlice,Małopolskie,26770
164,Kętrzyn,Warmińsko-mazurskie,26609
165,Zakopane,Małopolskie,26662
166,Turek,Wielkopolskie,26201
167,Kłodzko,Dolnośląskie,26172
168,Wyszków,Mazowieckie,26935
169,Biłgoraj,Lubelskie,25978
170,Jarocin,Wielkopolskie,26373
171,Świecie,Kujawsko-pomorskie,25335
172,Pszczyna,Śląskie,25622
173,Żagań,Lubuskie,25110
174,Reda,Pomorskie,26838
175,Wągrowiec,Wielkopolskie,25526
176,Bielsk Podlaski,Podlaskie,24883
177,Wałcz,Zachodniopomorskie,24802
178,Skawina,Małopolskie,24302
179,Białogard,Zachodniopomorskie,23811
180,Kościan,Wielkopolskie,23596
181,Lubliniec,Śląskie,23430
182,Kościerzyna,Pomorskie,23698
183,Kobyłka,Mazowieckie,25563
184,Kluczbork,Opolskie,23131
185,Sandomierz,Świętokrzyskie,22803
186,Bartoszyce,Warmińsko-mazurskie,22785
187,Wieliczka,Małopolskie,24393
188,Szczytno,Warmińsko-mazurskie,22671
189,Środa Wielkopolska,Wielkopolskie,23655
190,Jawor,Dolnośląskie,22301
191,Świebodzice,Dolnośląskie,22539
192,Piastów,Mazowieckie,22382
193,Ostrów Mazowiecka,Mazowieckie,22160
194,Wieluń,Łódzkie,21735
195,Polkowice,Dolnośląskie,22378
196,Goleniów,Zachodniopomorskie,21876
197,Łaziska Górne,Śląskie,22062
198,Nowa Ruda,Dolnośląskie,21386
199,Zambrów,Podlaskie,21853
200,Płońsk,Mazowieckie,21846
201,Lubartów,Lubelskie,21488
202,Koło,Wielkopolskie,21035
203,Grajewo,Podlaskie,21616
204,Świebodzin,Lubuskie,21428
205,Mrągowo,Warmińsko-mazurskie,21179
206,Aleksandrów Łódzki,Łódzkie,21768
207,Rydułtowy,Śląskie,21298
208,Opoczno,Łódzkie,20526
209,Działdowo,Warmińsko-mazurskie,21014
210,Gryfino,Zachodniopomorskie,20792
211,Lubań,Dolnośląskie,20573
212,Prudnik,Opolskie,20502
213,Orzesze,Śląskie,21324
214,Hajnówka,Podlaskie,20141
215,Józefów,Mazowieckie,20768
216,Rawicz,Wielkopolskie,20044
217,Andrychów,Małopolskie,19646
218,Gostyń,Wielkopolskie,20141
219,Trzebinia,Małopolskie,19359
220,Chełmno,Kujawsko-pomorskie,19063
221,Sulejówek,Mazowieckie,19896
222,Bieruń,Śląskie,19328
223,Ozorków,Łódzkie,18988
